"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
274,"Acute Respiratory Distress Syndrome Clinical Network (ARDSNet)","Completed","No Results Available","Respiratory Distress Syndrome, Adult|Lung Diseases","Procedure: Low Tidal Volume Ventilation|Procedure: Positive End-Expiratory Pressure|Drug: Lysofylline|Drug: Methylprednisolone|Drug: Ketoconazole|Procedure: Fluid Management|Procedure: Pulmonary Artery Catheter","All","13 Years and older   (Child, Adult, Older Adult)","Phase 3",,"July 2004","University of California, San Francisco, California, United States|University of Colorado Health Sciences Center, Denver, Colorado, United States|University of Chicago, Chicago, Illinois, United States|Louisiana State University, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Mayo Foundation, Rochester, Minnesota, United States|Duke University, Durham, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Vanderbilt University, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|University of Texas, San Antonio, Texas, United States|Latter Day Saints Hospital, Salt Lake City, Utah, United States|University of Virginia, Charlottesville, Virginia, United States|University of Washington, Seattle, Washington, United States|University of British Columbia, Vancouver, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT00000579"
275,"The Safety and Efficacy of Lucinactant for Inhalation in Premature Neonates 26 to 32 Weeks Gestational Age","Completed","Has Results","Respiratory Distress Syndrome","Drug: Lucinactant delivered via investigational delivery device|Drug: nCPAP","All","26 Weeks to 32 Weeks   (Child)","Phase 2","221","August 6, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|Univ. of Arkansas Medical Center, Little Rock, Arkansas, United States|Loma Linda University Medical Center, Loma Linda, California, United States|Children's Hospital of Orange County, Orange, California, United States|Sharp Mary Birch Hospital for Women and Newborns, San Diego, California, United States|Christiana Care Health System, Newark, Delaware, United States|University of Miami Holtz Children's Hospital, Miami, Florida, United States|University of Michigan Health System, Ann Arbor, Michigan, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Albany Medical Center, Albany, New York, United States|Morgan Stanley Childrens Hospital of New York Presbyterian (CHONY), New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Brody School of Medicine at ECU, Greenville, North Carolina, United States|New Hanover Regional Medical Center, Wilmington, North Carolina, United States|Case Western Reserve University (Rainbow Babies Hosp.), Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Providence St. Vincent Medical Center, Portland, Oregon, United States|Women and Infants Hospital, Providence, Rhode Island, United States|Baylor University Medical Center, Dallas, Texas, United States|Cook Children's Hospital, Fort Worth, Texas, United States|Texas Health Harris Methodist Hospital, Fort Worth, Texas, United States|Foothills Medical Centre, Calgary, Alberta, Canada|Royal Alexandra Hospital, Edmonton, Alberta, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|Montreal Children's Hospital, Montreal, Quebec, Canada|Sainte Justine Hospital, Montreal, Quebec, Canada|Hospital Dr Sotero Del Rio, Santiago, Region-MetropolitanadeSantiago, Chile|Hospital Clínico Regional de Concepción Dr Guillermo Grant Benavente, Concepción, Chile|Hospital San Jose, Santiago, Chile|Clinica Alamena de Santiago, Santiago, Chile|Hospital Santiago Oriente Dr Luis Tisné Brousse, Santiago, Chile|Hospital Clinico de la Pontificia Universidad Catolica de Chile, Santiago, Chile|Hospital San Juan de Dios, Santiago, Chile|Fundacion Hospitalaria San Vicente de Paul, Medellin, Antioquia, Colombia|Hospital General de Medellin, Medellin, Antioquia, Colombia|Fundacion Valle Del Lili, Cali, Valle Del Cauca, Colombia|Semmelweis Egyetem, Budapest, Hungary|Csolnoky Ferenc Korhaz, Debrecen, Hungary|Debreceni Egyetem Klinikai Kozpont, Debrecen, Hungary|Borsod-Abauj-Zemplen Megyei Korhaz es Egyetemi Okato, Miskolc, Hungary|Szabolcs-Szatmar-Bereg Megyei Korhazak es Egyetemi Oktatokorhaz, Nyiregyhaza, Hungary|Cork University Hospital, Cork, Ireland|Mid-Western Regional Hospital Limerick, Limerick, Ireland|Erasmus Medical Center, Rotterdam, Netherlands|Uniwersytecki Szpital Kliniczny im. Jana Mikulicza Radeckiego we Wroclawiu, Wroclaw, Dolnoslaskie, Poland|S.U. nr2im. Dr. Jana Biziela Oddzial Kliniczny N. W. Z. Intensywna Terapia Noworodka wraz z Wgjazdowy m Zespolem N, Bydgoszcz, Kujawsko-pomorksie, Poland|Instytut Centrum Zdrowja Matki Polki Klinika Neonatologii, Lodz, Lodzkie, Poland|SP ZOZ Szpital Uniwersytecki w Krakowie, Oddzial Neonatologii, Krakow, Malopolskie, Poland|Szpital Kliniczny im. Ks, Anny Mazowieckiej Klinika Neonatologii, Warsaw, Mazowieckie, Poland|Uniwersyteckie Centrum Kliniczne, Gdansk, Pomorskie, Poland|Szpital Spegialistycszny nr 2 w Bytomia Oddzial Noworodkow Blok V, Bytom, Slaskie, Poland|Samodzielny Publiczny Specjalistczny Zaklad Opieki Zdrowotnej Zdroje, Szczecin, West Pomerania, Poland|Ginekologiczno-Polozniczy Szpital Klinicznym UM im. Karola Marcinkowskiego w Poznan i u Katedra Neonatologii, Poznan, Wielkopolskie, Poland","https://ClinicalTrials.gov/show/NCT02636868"
276,"A Study of APL-9 in Adults With Mild to Moderate ARDS Due to COVID-19","Completed","Has Results","COVID|Covid-19|Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome|Severe Acute Respiratory Syndrome Coronavirus 2|Sars-CoV2|Ards|Acute Respiratory Distress Syndrome","Drug: APL-9|Other: Vehicle Control","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","72","February 13, 2021","University of California at San Francisco - Fresno, Fresno, California, United States|California Pacific Medical Center, San Francisco, California, United States|Baptist Medical Center Beaches, Jacksonville Beach, Florida, United States|Westchester General Hospital, Miami, Florida, United States|Northwestern University, Feinberg School of Medicine, Chicago, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|Lutheran Health Physicians, Fort Wayne, Indiana, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|Norton Women's and Children's Hospital, Louisville, Kentucky, United States|Norton Audobon Hospital, Louisville, Kentucky, United States|Cambridge Medical Trials, Alexandria, Louisiana, United States|Ascension Providence Hospital, Southfield, Michigan, United States|Rutgers University - Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|University at Buffalo, Buffalo, New York, United States|Columbia University, New York, New York, United States|Texas A&M College of Medicine - Scott and White, Temple, Texas, United States|Hospital Angelina Caron, Campina Grande Do Sul, Paraná, Brazil|Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital São Lucas da PUCRS, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital Estadual Mario Covas, Santo André, Sao Paulo, Brazil|CEMEC - Centro Multidisciplinar de Estudos Clinicos LTDA EPP, São Bernardo Do Campo, Sao Paulo, Brazil|Hospital Alemao Oswaldo Cruz, São Paulo, Sao Paulo, Brazil|Hospital Santa Marcelina, São Paulo, Sao Paulo, Brazil|UPECLIN - Unidade de Pesquisa Clínica da Faculdade de Medicina de Botucatu - FMB/UNESP, Botucatu, São Paulo, Brazil","https://ClinicalTrials.gov/show/NCT04402060"
277,"A Study in Preterm Neonates With RDS to Compare CUROSURF® Administration Through LISA and Conventional Administration","Terminated","No Results Available","Respiratory Distress Syndrome, Newborn","Combination Product: LISA combination product (Curosurf+catheter CHF6440)|Drug: Curosurf through conventional administration (endotracheal tube)","All","30 Minutes to 24 Hours   (Child)","Phase 3","33","August 13, 2022","Chiesi Clinical Trial Site 84029, Little Rock, Arkansas, United States|Chiesi Clinical Trial Site 84001, Los Angeles, California, United States|Chiesi Clinical Trial Site 84002, Los Angeles, California, United States|Chiesi Clinical Trial Site 84013, Denver, Colorado, United States|Chiesi Clinical Trial Site 84026, New Britain, Connecticut, United States|Chiesi Clinical Trial Site 84003, Evanston, Illinois, United States|Chiesi Clinical Trial Site 84021, Peoria, Illinois, United States|Chiesi Clinical Trial Site 84023, Lexington, Kentucky, United States|Chiesi Clinical Trial Site 84028, Springfield, Massachusetts, United States|Chiesi Clinical Trial Site 84005, Worcester, Massachusetts, United States|Chiesi Clinical Trial Site 84008, Lansing, Michigan, United States|Chiesi Clinical Trial Site 84004, Saint Louis, Missouri, United States|Chiesi Clinical Trial Site 84012, Camden, New Jersey, United States|Chiesi Clinical Trial Site 84024, Manhasset, New York, United States|Chiesi Clinical Trial Site 84019, New Hyde Park, New York, United States|Chiesi Clinical Trial Site 84009, Valhalla, New York, United States|Chiesi Clinical Trial Site 84027, Greenville, North Carolina, United States|Chiesi Clinical Trial Site 84010, Wilmington, North Carolina, United States|Chiesi Clinical Trial Site 84025, Cincinnati, Ohio, United States|Chiesi Clinical Trial Site 84017, Oklahoma City, Oklahoma, United States|Chiesi Clinical Trial Site 84020, Hershey, Pennsylvania, United States|Chiesi Clinical Trial Site 84007, Nashville, Tennessee, United States|Chiesi Clinical Trial Site 84011, Lubbock, Texas, United States|Chiesi Clinical Trial Site 84006, Plano, Texas, United States|Chiesi Clinical Trial Site 84022, Temple, Texas, United States|Chiesi Clinical Trial Site 84015, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT02772081"
278,"Effects of TNX-832 (Sunol cH36) in Subjects With Acute Lung Injury/Acute Respiratory Distress Syndrome","Completed","No Results Available","Sepsis|Acute Lung Injury|Acute Respiratory Distress Syndrome","Biological: TNX-832|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 1","18","February 2008","University of Miami, Miami, Florida, United States|Beth Israel Deconess Medical Center, Boston, Massachusetts, United States|Washington University, St. Louis, Missouri, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Akron General Medical Center, Akron, Ohio, United States|Baylor School of Medicine, Houston, Texas, United States|Capital Health, Halifax, Nova Scotia, Canada","https://ClinicalTrials.gov/show/NCT01438853"
279,"Wide Scale Monitoring for Acute Respiratory Infection Using a Mobile-Based Study Platform","Completed","No Results Available","Covid19|Influenza|Respiratory Tract Infections|Acute Respiratory Tract Infection|Acute Respiratory Distress Syndrome",,"All","18 Years and older   (Adult, Older Adult)",,"16000","December 8, 2021","Boston Children's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04663776"
280,"Anti-TF Antibody (ALT-836) to Treat Septic Patients With Acute Lung Injury or Acute Respiratory Distress Syndrome","Completed","No Results Available","Sepsis|Acute Lung Injury|Acute Respiratory Distress Syndrome","Drug: ALT-836|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","January 2013","Los Angeles County and USC Medical Center, Los Angeles, California, United States|UC Davis Medical Center, Sacramento, California, United States|Stanford University, Stanford, California, United States|Yale University, New Haven, Connecticut, United States|Northwestern University, Chicago, Illinois, United States|West Suburban Hospital Medical Center, Oak Park, Illinois, United States|Illinois Lung and Critical Care Institute, Peoria, Illinois, United States|University of Iowa, Iowa City, Iowa, United States|Kentucky Lung Clinic, Hazard, Kentucky, United States|University of Louisville-Division of Pulmonary and Critical Care, Louisville, Kentucky, United States|Baystate Medical Center, Springfield, Massachusetts, United States|Saint Luke's Hospital, Kansas City, Missouri, United States|Saint Louis University, St. Louis, Missouri, United States|Mercy Hospital St. Louis, St. Louis, Missouri, United States|Mount Sinai Medical Center, New York City, New York, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Carolinas Medical Center, Charlotte, North Carolina, United States|Piedmont Respiratory Research Foundation, Greensboro, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|University of Oklahoma, Oklahoma City, Oklahoma, United States","https://ClinicalTrials.gov/show/NCT00879606"
281,"Careful Ventilation in Acute Respiratory Distress Syndrome (COVID-19 and Non-COVID-19)","Recruiting","No Results Available","ARDS","Other: Respiratory Mechanics|Other: Standard Ventilation Strategy","All","18 Years and older   (Adult, Older Adult)","Not Applicable","740","November 2024","New York University Grossman School of Medicine, New York, New York, United States|Centro de Educación Médica e Investigaciones Clínicas Dr Norberto Quirno (CEMIC), Buenos Aires, Argentina|Complejo Médico Policía Federal Argentina Churruca Visca, Buenos Aires, Argentina|Hospital Británico de Buenos Aires, Buenos Aires, Argentina|Sanatorio Anchorena Recoleta, Buenos Aires, Argentina|Sanatorio Mater Dei, Buenos Aires, Argentina|Sanatorio Anchorena San Martín, San Martín, Argentina|St. Michael's Hospital, Toronto, Canada|Toronto General Hospital, Toronto, Canada|Toronto Western Hospital, Toronto, Canada|Pontificia Universidad Católica de Chile, Santiago de Chile, Chile|Centre hospitalier universitaire d'Angers, Angers, France|CH Victor Dupouy, Argenteuil, France|CH de Beauvais, Beauvais, France|CHU Bordeaux - Haut Leveque, Bordeaux, France|Hopital de la Cavale Blanche - CHRU Brest, Brest, France|CH de Cholet, Cholet, France|Hopital Intercommunal de Creteil, Creteil, France|CHU Grenoble-Alpes, Grenoble, France|Hopital Roger Salengro - CHU Lille, Lille, France|Groupe Hospitalier de la Region de Mulhouse et Sud Alsace, Mulhouse, France|Hopital de l'Archet 1 - CHU de Nice, Nice, France|Hopital Europeen Georges-Pompidou, Paris, France|CHU de Poitiers - La Miletrie, Poitiers, France|CH Bretagne Atlantique Vannes-Auray, Vannes, France|HIA Robert Picque, Villenave-d'Ornon, France|Arcispedale Sant'Anna, Ferrara, Italy|University of Foggia, Foggia, Italy|Policlinico Universitario Agostino Gemelli IRCCS, Rome, Italy|L'Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Vall d'Hebron University Hospital, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT03963622"
282,"Double-Blind, Multicenter, Study to Evaluate the Efficacy of PLX PAD for the Treatment of COVID-19","Active, not recruiting","No Results Available","COVID|ARDS","Biological: PLX-PAD|Biological: Placebo","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 2","66","February 2023","University of California Irvine, Irvine, California, United States|University of Southern California (USC) - Keck School of Medicine (KSOM), Los Angeles, California, United States|University Of California Davis,4860 Y Street, Sacramento, California, United States|Baptist Health Medical Center, Jacksonville, Florida, United States|Medical College of Georgia at Augusta University, Augusta, Georgia, United States|Sarah Cannon Research Institute, LLC (Mercer University School of Medicine), Macon, Georgia, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Cooper Research Institute, Camden, New Jersey, United States|Holy Medical Center, Teaneck, New Jersey, United States|Montefiore Medical Center, New York, New York, United States|Maimonides Medical Center, New York, New York, United States|Mercy Medical Center, New York, New York, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04389450"
283,"Plasma Adsorption in Patients With Confirmed COVID-19","Completed","No Results Available","Respiratory Failure|ARDS","Device: Marker Therapeutics D2000 Cartridge (D2000) for use with the Spectra Optia® Apheresis System (Optia SPD Protocol)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","107","April 1, 2022","University of Arkansas for Medical Sciences (UAMS), Little Rock, Arkansas, United States|UNM Health Science Center, Albuquerque, New Mexico, United States|Providence Portland Medical Center, Portland, Oregon, United States|Reading Hospital, West Reading, Pennsylvania, United States|UT Southwestern/Clements Hospital, Dallas, Texas, United States|UTMB, Galveston, Texas, United States|Inova Fairfax Medical Campus, Falls Church, Virginia, United States","https://ClinicalTrials.gov/show/NCT04358003"
284,"A Phase II Randomized Trial of Fish Oil in Patients With Acute Lung Injury (ALI)","Completed","Has Results","Respiratory Distress Syndrome, Adult|Acute Lung Injury|Acute Respiratory Distress Syndrome","Drug: Fish oil (eicosapentaenoic acid and docosahexanoic acid)","All","18 Years and older   (Adult, Older Adult)","Phase 2","90","August 2009","St. Alphonsus Medical Center, Boise, Idaho, United States|Oregon Health Sciences University, Portland, Oregon, United States|University of Vermont/Fletcher Allen Health Care, Burlington, Vermont, United States|Harborview Medical Center, Seattle, Washington, United States|St. Michael's Hospital, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00351533"
285,"Post Acute Sequelae of COVID-19","Recruiting","No Results Available","Covid19|Sars-CoV-2 Infection|Dyspnea Caused by 2019-nCoV|COVID-19 Acute Respiratory Distress Syndrome|Pulmonary Fibrosis","Other: Cohort study","All","18 Years and older   (Adult, Older Adult)",,"500","May 2027","Vanderbilt_University MC, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT04964115"
286,"Ventilation and Perfusion in the Respiratory System","Enrolling by invitation","No Results Available","Respiratory Failure|Respiratory Distress Syndrome, Adult|Critical Illness|Pulmonary Disease|Ventilator-Induced Lung Injury","Device: Electrical Impedance tomography|Other: Lung mechanics and gas exchange","All","18 Years and older   (Adult, Older Adult)",,"20","July 2024","University of California San Diego Health, La Jolla, California, United States","https://ClinicalTrials.gov/show/NCT05081895"
287,"Reevaluation Of Systemic Early Neuromuscular Blockade","Completed","Has Results","Acute Respiratory Distress Syndrome","Drug: Cisatracurium Besylate","All","18 Years and older   (Adult, Older Adult)","Phase 3","1008","April 4, 2019","UCSF Fresno, Fresno, California, United States|Ronald Reagan UCLA Medical Center, Los Angeles, California, United States|UC Davis Medical Center, Sacramento, California, United States|UCSF Medical Center, San Francisco, California, United States|Stanford University Hospital, Stanford, California, United States|Medical Center of Aurora, Aurora, Colorado, United States|University of Colorado Hospital, Aurora, Colorado, United States|Denver Health Medical Center, Denver, Colorado, United States|Swedish Medical Center, Englewood, Colorado, United States|Indiana University Methodist Hospital, Indianapolis, Indiana, United States|University Medical Center, New Orleans, Louisiana, United States|Maine Medical Center, Portland, Maine, United States|Tufts Medical Center, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|St. Vincent's Hospital, Worcester, Massachusetts, United States|University of Michigan Medical Center, Ann Arbor, Michigan, United States|Henry Ford Medical Center, Detroit, Michigan, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Montefiore Medical Center, Bronx, New York, United States|Mt. Sinai Hospital, New York, New York, United States|Wesley Long Hospital, Greensboro, North Carolina, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States|Summa Akron City Hospital, Akron, Ohio, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|Penn State Hershey Medical Center, Hershey, Pennsylvania, United States|UPMC Presbyterian/Mercy/Shadyside, Pittsburgh, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Intermountain Medical Center, Murray, Utah, United States|McKay-Dee Hospital, Ogden, Utah, United States|Utah Valley Regional Medical Center, Provo, Utah, United States|University Hospital, Salt Lake City, Utah, United States|LDS Hospital, Salt Lake City, Utah, United States|University or Virginia Health System, Charlottesville, Virginia, United States|VCU Medical Center, Richmond, Virginia, United States|Harborview Medical Center, Seattle, Washington, United States|University of Washington Medical Center, Seattle, Washington, United States|Swedish Hospital Cherry Hill, Seattle, Washington, United States|Swedish Hospital First Hill, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT02509078"
288,"Phase 2a Multiple Ascending Dose Study in Hospitalized Patients With Pneumonia.","Recruiting","No Results Available","Acute Respiratory Distress Syndrome|Viral or Bacterial Infections|Pneumonia|Pneumonia, Viral|Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome","Drug: AV-001 Injection|Drug: AV-001 Placebo Injection","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","May 2023","University Medical Center of Southern Nevada, Las Vegas, Nevada, United States","https://ClinicalTrials.gov/show/NCT05123755"
289,"Losartan for Patients With COVID-19 Not Requiring Hospitalization","Completed","Has Results","Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection","Drug: Losartan|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","117","February 1, 2021","Hennepin County Medical Center, Minneapolis, Minnesota, United States|M Health Fairview University of Minnesota Medical Center, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States|Mayo Clinic Health System, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04311177"
290,"Novel Arm Restraint For Critically Ill Patients To Reduce Immobility, Sedation, Agitation and Cognitive Impairment","Completed","No Results Available","Acute Respiratory Failure|Encephalopathy|ARDS|Sepsis|Critical Illness","Device: Exersides","All","18 Years and older   (Adult, Older Adult)","Not Applicable","58","December 28, 2021","University of California San Diego, San Diego, California, United States|Johns Hopkins University, Baltimore, Maryland, United States|University of Vermont, Burlington, Vermont, United States","https://ClinicalTrials.gov/show/NCT04067622"
291,"Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection","Completed","Has Results","SARS-CoV Infection","Drug: Losartan","All","18 Years and older   (Adult, Older Adult)","Phase 4","31","June 13, 2020","Sharp Grossmont Hospital, La Mesa, California, United States|Sharp Chula Vista Medical Center, San Diego, California, United States|Sharp Memorial Hospital, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT04340557"
292,"Safety and Efficacy of USB002 for Respiratory Distress Due to COVID-19","Terminated","No Results Available","2019 Novel Coronavirus Infection|COVID-19 Virus Infection|SARS Coronavirus 2 Infection|SARS-CoV-2 Infection|Respiratory Distress Syndrome, Adult|Adult Respiratory Distress Syndrome","Drug: USB002|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","21","May 10, 2022","The University of Arizona Health Sciences Center/ Banner Healthcare Systems Hospitals, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT04778059"
293,"Breethe Abiomed Recovery regisTry (BART)","Active, not recruiting","No Results Available","Cardiopulmonary Bypass|ARDS|Heart Failure","Device: Breethe Oxy-1 System","All","18 Years and older   (Adult, Older Adult)",,"1000","December 9, 2025","AdventHealth Orlando, Orlando, Florida, United States|Emory University, Atlanta, Georgia, United States|University of Maryland, College Park, Maryland, United States|NYU School of Medicine, New York, New York, United States|UPenn Health System, Philadelphia, Pennsylvania, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT05473130"
294,"Laryngeal Mask Airway (LMA) for Surfactant Administration in Neonates","Completed","Has Results","Respiratory Distress Syndrome","Device: Nasal continuous positive airway pressure (nCPAP)|Device: Laryngeal Mask Airway (LMA) to deliver surfactant|Drug: Surfactants, Pulmonary","All","up to 36 Hours   (Child)","Not Applicable","103","April 2015","Loma Linda University Medical Center, Loma Linda, California, United States|University of California- San Diego Medical Center, San Diego, California, United States|Maple Grove Hospital, Maple Grove, Minnesota, United States|University of Minnesota Children's Hospital, Minneapolis, Minnesota, United States|North Memorial Hospital, Robbinsdale, Minnesota, United States|St Paul Children's Hospital, St Paul, Minnesota, United States|University of Wisconsin- Madison, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT01116921"
295,"Comparison of Aerosol Delivery of Infasurf to Usual Care in Spontaneously Breathing RDS Patients","Completed","No Results Available","Respiratory Distress Syndrome","Drug: Aerosolized Calfactant|Device: Solarys","All","1 Hour to 24 Hours   (Child)","Phase 3","477","July 31, 2018","USA Children's & Women's Hospital, Mobile, Alabama, United States|Banner - University Medical Center Phoenix, Phoenix, Arizona, United States|Sharp Mary Birch Hospital for Women & Newborns, San Diego, California, United States|Baptist Hospital of Miami, Miami, Florida, United States|Adventist Healthcare System, Florida Hospital, Orlando, Florida, United States|Johns Hopkins All Children's Hospital, Saint Petersburg, Florida, United States|University of South Florida, Tampa general, Tampa, Florida, United States|Columbus Regional Hospital, Columbus, Georgia, United States|OSF Saint Francis Medical Center, Peoria, Illinois, United States|Kentucky Children's Hospital, University of Kentucky Medical Center, Lexington, Kentucky, United States|Children's Hospital and Clinics, Minneapolis, Minnesota, United States|Children's Hospital Minnesota, Saint Paul, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Sisters of Charity Hospital, Buffalo, New York, United States|Pitt County Memorial Hospital, Greenville, North Carolina, United States|The Medical University of South Carolina, Charleston, South Carolina, United States|Jackson-Madison County General Hospital, Jackson, Tennessee, United States|Vanderbilt university Medical Center, Nashville, Tennessee, United States|North central Baptist Hospital, San Antonio, Texas, United States|Timpanogos Regional Medical Center, Orem, Utah, United States|Utah Valley Hospital, Provo, Utah, United States|University of Virgina Medical Center, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT03058666"
296,"Use of Combined Prone Positioning and High-Flow Nasal Cannula, and Non-invasive Positive Pressure Ventilation to Prevent Intubation in COVID-19 Infection","Recruiting","No Results Available","Prone Positioning|Covid19|Hypoxemic Respiratory Failure|ARDS|Non Invasive Ventilation|High Flow Nasal Cannulla","Other: Body position change","All","18 Years to 110 Years   (Adult, Older Adult)","Not Applicable","24","July 2023","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04694638"
297,"EPVent 2- A Phase II Study of Mechanical Ventilation Directed by Transpulmonary Pressures","Completed","No Results Available","Acute Respiratory Distress Syndrome","Other: Esophageal-pressure guided mechanical ventilation|Other: High PEEP mechanical ventilation","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","202","October 19, 2018","University of California at San Diego, La Jolla, California, United States|Stanford University Medical Center, Stanford, California, United States|Orlando Health, Orlando, Florida, United States|Shock-Trauma University of Maryland Medical Center, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|University of Massachusets Medical Center, Worcester, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Montefiore Medical Center, Bronx, New York, United States|Vancouver General Hospital, Vancouver, British Columbia, Canada|St Joseph's Healthcare, Hamilton, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|Laval University, Quebec City, Quebec, Canada","https://ClinicalTrials.gov/show/NCT01681225"
298,"Blood Volume Assessment in COVID-19 and Bacterial Sepsis","Recruiting","No Results Available","Covid19|Acute Respiratory Distress Syndrome|Bacterial Sepsis|Bacterial Infections","Device: BVA-100|Device: Transpulmonary Thermodilution (TPTD)|Device: Sublingual Microcirculation","All","18 Years to 95 Years   (Adult, Older Adult)",,"40","January 1, 2024","Uniformed Services University of the Health Sciences, Bethesda, Maryland, United States|NYU Langone Health, New York, New York, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04517695"
